StateName	ConstituencyName	LeadingCandidate	LeadingParty	TrailingCandidate	TrailingParty	Margin	LeadingParty2014
Karnataka	Bangalore Rural	D.k. Suresh	Indian National Congress	Ashwathnarayangowda	Bharatiya Janata Party	206870	Indian National Congress
Karnataka	Bangalore South	Tejasvi Surya	Bharatiya Janata Party	B.k.hariprasad	Indian National Congress	331192	Bharatiya Janata Party
Karnataka	Belgaum	Angadi Suresh Channabasappa	Bharatiya Janata Party	Dr.sadhunavar	Indian National Congress	391304	Bharatiya Janata Party
Karnataka	Bellary	Y. Devendrappa	Bharatiya Janata Party	V. S. Ugrappa	Indian National Congress	55707	Bharatiya Janata Party
Karnataka	Bidar	Bhagwanth Khuba	Bharatiya Janata Party	Eshwar B. Khandre	Indian National Congress	116834	Bharatiya Janata Party
Karnataka	Bijapur	Jigajinagi Ramesh Chandappa	Bharatiya Janata Party	Dr. Sunita Devanand Chavan	Janata Dal  (Secular)	258038	Bharatiya Janata Party
Karnataka	Chamarajanagar	V. Srinivas Prasad	Bharatiya Janata Party	R. Dhruvanarayana	Indian National Congress	1817	Indian National Congress
Karnataka	Chikkballapur	B.n.bache Gowda	Bharatiya Janata Party	M.veerappa Moily	Indian National Congress	182110	Indian National Congress
Karnataka	Chikkodi	Annasaheb Shankar Jolle	Bharatiya Janata Party	Prakash Babanna Hukkeri	Indian National Congress	118877	Indian National Congress
Karnataka	Chitradurga	A Narayanaswamy	Bharatiya Janata Party	B N Chandrappa	Indian National Congress	80178	Indian National Congress
Karnataka	Dakshina Kannada	Nalin Kumar Kateel	Bharatiya Janata Party	Mithun M Rai	Indian National Congress	274621	Bharatiya Janata Party
Karnataka	Davanagere	G M Siddeshwar	Bharatiya Janata Party	H B Manjappa	Indian National Congress	169702	Bharatiya Janata Party
Karnataka	Dharwad	Pralhad Joshi	Bharatiya Janata Party	Vinay Kulkarni	Indian National Congress	205072	Bharatiya Janata Party
Karnataka	Gulbarga	Dr. Umesh G Jadhav	Bharatiya Janata Party	Mallikarjun Kharge	Indian National Congress	95452	Indian National Congress
